,Channel_id,Channel_name,desc,pub_date,num_viewers,num_subscribers,num_videos
0,UC-8ccUhAGxE063BDvq0IpEg,NeuralNetwork,Здесь больше аудиокниг https://t.me/+fQkf8NqV_4VmOGZi,2023-03-24T05:48:38.251836Z,3643,281,62
1,UC-nXyvpZwoa3qe4r54SN2EA,チームNeuralNetwork,"情報系の大学2年生がいろんなことにチャレンジしたり、学びや感動を提供するチャンネルです！
好きな言葉「The universe always falls in love with stubborn heart.」


",2022-06-22T00:34:19.402342Z,43,0,7
2,UCqwebnDetMnn38hxYslvvdw,neuralNetwork,"Neural networks, a computer system that simulates the work of the human brain, processes information and draws conclusions based on the data received. It consists of many interconnected artificial neurons that transmit and process signals#Нейронные сети, компьютерная система, имитирует работу человеческого мозга обрабатывает информацию и делать выводы на основе полученных данных. Состоит из множества взаимосвязанных искусственных нейронов, которые передают и обрабатывают сигналы.",2024-02-07T19:44:30.208649Z,1827,8,25
3,UCHxvEkHoR3Vx4SId960Ijkw,DARK ROBOT ⚙️ Neural Networks and AI,"All pictures & videos were created using AI and Neural Networks.

Crypto Wallet for Donations [ if you want to support channel ] :
ETH: 0xa0172d34429dfce8aD33550b3812BFc5b896Be04
",2023-01-24T21:21:01.193866Z,529922,2950,9
4,UCW_vY5-XTloJDGlrWqnUlRA,NeuralNetwork Notes,,2023-08-06T04:50:14.24998Z,85,10,5
5,UCHXEQgpgTHYgahqBDGfTk0A,Neural networks lab,"Hi all .  On my channel, I show how neural networks that are developing by leaps and bounds see us, our world and everything that is in it was and will be.  Neural networks are an unconditional indicator of the pinnacle of the human mind and technological progress.",2023-02-17T20:34:27.611113Z,3247,27,18
6,UCRTV5p4JsXV3YTdYpTJECRA,Neural Network Console,"ソニーのDeep Learningの統合開発環境、Neural Network Consoleのチャンネルです。
Deep Learningの基礎について、およびNeural Network Consoleの使い方について解説しています。

Channel for Neural Network Console, Sony's integrated development environment for Deep Learning.
Learn the basics of Deep Learning and how to use the Neural Network Console.
",2017-08-06T06:34:24Z,2086421,33600,100
7,UCrBzGHKmGDcwLFnQGHJ3XYg,giant_neural_network,"Contact: giantneuralnet@gmail.com
Discord: https://discord.gg/akUgSGj

Making machine learning and reinforcement learning approachable! 

Intermediate neural network series in production.

Inspired by:
Ben Eater https://www.youtube.com/user/eaterbc
carykh https://www.youtube.com/channel/UC9z7EZAbkphEMg0SP7rw44A
3Blue1Brown https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw/
Computerphile https://www.youtube.com/user/Computerphile",2009-07-11T23:46:34Z,2110780,36500,37
8,UCGeqBA0dUBFqJHJGY1O8YIw,Sexual Neural Networks,,2020-07-11T22:55:27.282305Z,14132,17,3
9,UCACe5NFyl6MNA7rLbc3TKxw,NeuroLink,"NeuroLink - the channel where we test neural networks. 
Testing the neural networks of Dell-e 3, Midyourney
",2024-03-17T19:20:01.366442Z,314,1,10
10,UCIHF7ZBqxK6mKOnsyIKMX0Q,NeuralNetwork,"Welcome to NeuralNetwork— 🧠✨ Clips from Andrew Hubermans podcast are posted here to give you guys all the information you need to live a healthy life.







",2023-03-30T21:18:40.122497Z,65576,153,26
11,UCwHa6VZkyro8ZdWJ-8p_y4Q,Neural Networks Gallery,,2009-10-18T18:31:57Z,168,1,4
12,UCYJ4ol-XYzUgJKJ9Sb_ELuQ,Neural networks creations,,2023-03-11T15:04:07.0052Z,26,0,5
13,UC9VSm0qV0BMn8q7zqSF67AQ,Neural networks and crypto ,"in this channel, I will tell you what cryptocurrency and neural networks are and how to use them",2024-02-05T14:33:11.092061Z,1,0,1
14,UCmtyQOKKmrMVaKuRXz02jbQ,Sebastian Lague,"Hello, on this channel I explore how to create stuff out of code. I hope you find some of it interesting!


",2011-10-01T11:04:26Z,94640395,1250000,281
15,UCkRqLuyXzHsvkcZLJ2i8dYg,Video editing neural networks,,2024-03-20T20:21:13.616103Z,0,9,7
16,UCrp8k-nSuMKHM4sSUvlPdAw,Formal Languages and Neural Networks Seminar,,2022-02-12T23:19:49.565505Z,26603,1160,43
17,UCR4j2KEf-wqN-6avGSfxrOg,NNFA -  Neural Networks For All,"NNFA -  Neural Networks For All
This channel has a lot of useful information about neural networks
",2024-02-19T08:12:14.223677Z,63,2,4
18,UC8dELP8TX0ZRZA8B-33ptSg,Artificial Neural Networks,In this channel you will have video lectures covering the subject Artificial Neural Networks according VTU syllabus (17EC653 or 15EC653).,2020-03-18T05:12:36.898092Z,9318,101,16
19,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI,"Welcome to the official DeepLearning.AI YouTube channel! Here you can find the videos from our Coursera programs on machine learning as well as recorded events.

DeepLearning.AI was founded in 2017 by machine learning and education pioneer Andrew Ng to fill a need for world-class AI education.

DeepLearning.AI has created high-quality AI programs on Coursera that have gained an extensive global following. By providing a platform for education and fostering a tight-knit community, DeepLearning.AI has become the pathway for anyone looking to build an AI career.
",2017-08-22T22:27:58Z,17483752,292000,414
